ms_drg,pa_drg,nprm_drg,mdc,type,msdrg_title,weights,los_geo,los_mean
1,No,No,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,27.0986,27.0986,30.3
2,No,No,PRE,SURG,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,12.2441,12.2441,9.6
3,Yes,No,PRE,SURG,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",21.3203,21.3203,26.7
4,Yes,No,PRE,SURG,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",14.7000,14.7000,26.1
5,No,No,PRE,SURG,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,10.3500,10.3500,14.8
6,No,No,PRE,SURG,LIVER TRANSPLANT WITHOUT MCC,4.8369,4.8369,7.8
7,No,No,PRE,SURG,LUNG TRANSPLANT,12.2664,12.2664,18.5
8,No,No,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,5.2617,5.2617,8.7
10,No,No,PRE,SURG,PANCREAS TRANSPLANT,4.8136,4.8136,9.5
11,No,No,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",5.1563,5.1563,11.5
12,No,No,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",4.0049,4.0049,8.5
13,No,No,PRE,SURG,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",2.6857,2.6857,6.3
14,No,No,PRE,MED,ALLOGENEIC BONE MARROW TRANSPLANT,11.4609,11.4609,25.6
16,No,No,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,6.1770,6.1770,16.6
17,No,No,PRE,MED,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,6.1770,6.1770,16.6
18,No,No,PRE,MED,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,36.8427,36.8427,12.9
19,No,No,PRE,SURG,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,7.9935,7.9935,11.6
20,No,No,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,8.4524,8.4524,10.2
21,No,No,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,6.1414,6.1414,6.3
22,No,No,01,SURG,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,3.4767,3.9227,2.5
23,Yes,Yes,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,5.6688,5.6688,7.5
24,Yes,Yes,01,SURG,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,3.7888,3.7888,4.0
25,Yes,No,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,4.4160,4.4160,6.6
26,Yes,No,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,2.9531,2.9531,3.1
27,Yes,No,01,SURG,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,2.4329,2.4329,1.6
28,Yes,Yes,01,SURG,SPINAL PROCEDURES WITH MCC,6.0261,6.0261,10.2
29,Yes,Yes,01,SURG,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,3.4282,3.4282,4.9
30,Yes,Yes,01,SURG,SPINAL PROCEDURES WITHOUT CC/MCC,2.3190,2.3190,2.7
31,Yes,No,01,SURG,VENTRICULAR SHUNT PROCEDURES WITH MCC,4.1166,4.1166,7.0
32,Yes,No,01,SURG,VENTRICULAR SHUNT PROCEDURES WITH CC,2.1538,2.1538,2.7
33,Yes,No,01,SURG,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,1.6229,1.6229,1.6
34,No,No,01,SURG,CAROTID ARTERY STENT PROCEDURES WITH MCC,3.9014,3.9014,4.9
35,No,No,01,SURG,CAROTID ARTERY STENT PROCEDURES WITH CC,2.2995,2.2995,2.0
36,No,No,01,SURG,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,1.8082,1.8082,1.2
37,No,No,01,SURG,EXTRACRANIAL PROCEDURES WITH MCC,3.3756,3.3756,5.1
38,No,No,01,SURG,EXTRACRANIAL PROCEDURES WITH CC,1.5999,1.5999,1.9
39,No,No,01,SURG,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,1.1410,1.1410,1.2
40,Yes,Yes,01,SURG,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",3.8505,3.8505,7.4
41,Yes,Yes,01,SURG,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR",2.2307,2.2307,3.9
42,Yes,Yes,01,SURG,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC",1.7398,1.7398,2.4
52,No,No,01,MED,SPINAL DISORDERS AND INJURIES WITH CC/MCC,1.9445,1.9445,4.6
53,No,No,01,MED,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,0.9838,0.9838,2.8
54,Yes,No,01,MED,NERVOUS SYSTEM NEOPLASMS WITH MCC,1.4735,1.4735,4.0
55,Yes,No,01,MED,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,1.0732,1.0732,3.0
56,Yes,No,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,2.3940,2.3940,6.1
57,Yes,No,01,MED,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,1.3632,1.3632,4.0
58,No,No,01,MED,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,1.7279,1.7279,4.7
59,No,No,01,MED,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,1.1872,1.1872,3.7
60,No,No,01,MED,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,0.8974,0.8974,2.9
61,No,No,01,MED,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC",2.8028,2.8028,5.0
62,No,No,01,MED,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC",1.8717,1.8717,3.2
63,No,No,01,MED,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC",1.4868,1.4868,2.2
64,Yes,No,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,2.0030,2.0030,4.6
65,Yes,No,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,1.0164,1.0164,2.9
66,Yes,No,01,MED,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,0.6875,0.6875,1.9
67,No,No,01,MED,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,1.4169,1.4169,3.3
68,No,No,01,MED,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,0.8710,0.8710,2.1
69,No,No,01,MED,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,0.7987,0.7987,2.1
70,Yes,No,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,1.7895,1.7895,4.9
71,Yes,No,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,1.0618,1.0618,3.4
72,Yes,No,01,MED,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,0.7830,0.7830,2.4
73,No,No,01,MED,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,1.5130,1.5130,3.9
74,No,No,01,MED,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,1.0262,1.0262,2.9
75,No,No,01,MED,VIRAL MENINGITIS WITH CC/MCC,1.9138,1.9138,6.0
76,No,No,01,MED,VIRAL MENINGITIS WITHOUT CC/MCC,0.9225,0.9225,3.2
77,No,No,01,MED,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,1.5109,1.5109,4.1
78,No,No,01,MED,HYPERTENSIVE ENCEPHALOPATHY WITH CC,1.0169,1.0169,2.9
79,No,No,01,MED,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,0.7408,0.7408,2.2
80,No,No,01,MED,NONTRAUMATIC STUPOR AND COMA WITH MCC,2.2087,2.2087,5.4
81,No,No,01,MED,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,0.9095,0.9095,2.7
82,No,No,01,MED,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,2.2783,2.2783,4.5
83,No,No,01,MED,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,1.3564,1.3564,3.3
84,No,No,01,MED,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,0.9197,0.9197,2.1
85,Yes,No,01,MED,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,2.2728,2.2728,4.7
86,Yes,No,01,MED,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,1.3171,1.3171,3.0
